t,lb,ts,s,userId,rc,shop,search__phrase,productId,hrts
3284,SU12b-PickProduct-Page,1330419432042,true,PT1022809561,200,KEY,heaters,8660117787514683199,2012-02-28T08:57:12.042Z
554,SU11-SearchPhrase-Page,1330419436769,true,PT4022809571,200,OIN,locker,8563771665917837637,2012-02-28T08:57:16.769Z
518,SU41-CustomerDetails-Page,1330419443110,true,PT3022809561,200,MAF,signalisation,8519304225180871538,2012-02-28T08:57:23.110Z
720,SU61-BrowseCat2-Page,1330419444973,true,PT2022809551,200,MAF,bidon,8519304225180876557,2012-02-28T08:57:24.973Z
1056,SU12b-PickProduct-Page,1330419447047,true,PT4022809571,200,OIN,locker,8563771665917837637,2012-02-28T08:57:27.047Z
1058,SU31-AddToCart-Page,1330419447314,true,PT1022809561,200,KEY,heaters,8660117787514683199,2012-02-28T08:57:27.314Z
337,SU01-HomePage-Page,1330419453977,true,PT2022809572,200,MAF,caisse,8519304225180876557,2012-02-28T08:57:33.977Z
850,SU42-DeliveryAndBilling-Page,1330419453657,true,PT3022809561,200,MAF,signalisation,8519304225180871538,2012-02-28T08:57:33.657Z
1334,SU31-AddToCart-Page,1330419457894,true,PT4022809571,200,OIN,locker,8563771665917837637,2012-02-28T08:57:37.894Z
746,SU32-GoToCart-Page,1330419458824,true,PT1022809561,200,KEY,heaters,8660117787514683199,2012-02-28T08:57:38.824Z
788,SU11-SearchPhrase-Page,1330419465040,true,PT2022809572,200,MAF,caisse,8519304225180883243,2012-02-28T08:57:45.040Z
1529,SU43-Paiment-Page,1330419465809,true,PT3022809561,200,MAF,signalisation,8519304225180871538,2012-02-28T08:57:45.809Z
301,SU01-HomePage-Page,1330419468055,true,PT5022809571,200,MAF,servante,,2012-02-28T08:57:48.055Z
468,SU41-CustomerDetails-Page,1330419468717,true,PT1022809561,200,KEY,heaters,8660117787514683199,2012-02-28T08:57:48.717Z
1032,SU32-GoToCart-Page,1330419470260,true,PT4022809571,200,OIN,locker,8563771665917837637,2012-02-28T08:57:50.260Z
1371,SU12b-PickProduct-Page,1330419476733,true,PT2022809572,200,MAF,caisse,8519304225180883243,2012-02-28T08:57:56.733Z
730,SU11-SearchPhrase-Page,1330419477816,true,PT5022809571,200,MAF,servante,8519304225180863821,2012-02-28T08:57:57.816Z
879,SU42-DeliveryAndBilling-Page,1330419478749,true,PT1022809561,200,KEY,heaters,8660117787514683199,2012-02-28T08:57:58.749Z
815,SU41-CustomerDetails-Page,1330419479526,true,PT4022809571,200,OIN,locker,8563771665917837637,2012-02-28T08:57:59.526Z
610,SU31-AddToCart-Page,1330419488552,true,PT2022809572,200,MAF,caisse,8519304225180883243,2012-02-28T08:58:08.552Z
602,SU61-BrowseCat2-Page,1330419490128,true,PT3022809561,200,MAF,signalisation,8519304225180871538,2012-02-28T08:58:10.128Z
1873,SU12b-PickProduct-Page,1330419488999,true,PT5022809571,200,MAF,servante,8519304225180863821,2012-02-28T08:58:08.999Z
1501,SU43-Paiment-Page,1330419489652,true,PT1022809561,200,KEY,heaters,8660117787514683199,2012-02-28T08:58:09.652Z
810,SU42-DeliveryAndBilling-Page,1330419490863,true,PT4022809571,200,OIN,locker,8563771665917837637,2012-02-28T08:58:10.863Z
794,SU32-GoToCart-Page,1330419500185,true,PT2022809572,200,MAF,caisse,8519304225180883243,2012-02-28T08:58:20.185Z
283,SU01-HomePage-Page,1330419501047,true,PT3022809582,200,MAF,ventouse,8519304225180871538,2012-02-28T08:58:21.047Z
505,SU31-AddToCart-Page,1330419502163,true,PT5022809571,200,MAF,servante,8519304225180863821,2012-02-28T08:58:22.163Z
1969,SU43-Paiment-Page,1330419501992,true,PT4022809571,200,OIN,locker,8563771665917837637,2012-02-28T08:58:21.992Z
285,SU01-HomePage-Page,1330419509558,true,PT6022809581,200,MAF,ciseaux,,2012-02-28T08:58:29.558Z
570,SU41-CustomerDetails-Page,1330419510709,true,PT2022809572,200,MAF,caisse,8519304225180883243,2012-02-28T08:58:30.709Z
430,SU11-SearchPhrase-Page,1330419511377,true,PT3022809582,200,MAF,ventouse,8519304225180891593,2012-02-28T08:58:31.377Z
877,SU32-GoToCart-Page,1330419513016,true,PT5022809571,200,MAF,servante,8519304225180863821,2012-02-28T08:58:33.016Z
1594,SU61-BrowseCat2-Page,1330419512597,true,PT1022809561,200,KEY,heaters,8660117787514683199,2012-02-28T08:58:32.597Z
647,SU11-SearchPhrase-Page,1330419519583,true,PT6022809581,200,MAF,ciseaux,8519304225180836845,2012-02-28T08:58:39.583Z
641,SU42-DeliveryAndBilling-Page,1330419520113,true,PT2022809572,200,MAF,caisse,8519304225180883243,2012-02-28T08:58:40.113Z
694,SU12b-PickProduct-Page,1330419522516,true,PT3022809582,200,MAF,ventouse,8519304225180891593,2012-02-28T08:58:42.516Z
267,SU01-HomePage-Page,1330419525564,true,PT1022809582,200,MAF,etiquettes,8660117787514683199,2012-02-28T08:58:45.564Z
533,SU41-CustomerDetails-Page,1330419525352,true,PT5022809571,200,MAF,servante,8519304225180863821,2012-02-28T08:58:45.352Z
728,SU61-BrowseCat2-Page,1330419527007,true,PT4022809571,200,OIN,locker,8563771665917837637,2012-02-28T08:58:47.007Z
1793,SU43-Paiment-Page,1330419531204,true,PT2022809572,200,MAF,caisse,8519304225180883243,2012-02-28T08:58:51.204Z
1659,SU12b-PickProduct-Page,1330419531687,true,PT6022809581,200,MAF,ciseaux,8519304225180836845,2012-02-28T08:58:51.687Z
686,SU31-AddToCart-Page,1330419533934,true,PT3022809582,200,MAF,ventouse,8519304225180891593,2012-02-28T08:58:53.934Z
540,SU42-DeliveryAndBilling-Page,1330419536853,true,PT5022809571,200,MAF,servante,8519304225180863821,2012-02-28T08:58:56.853Z
274,SU01-HomePage-Page,1330419537320,true,PT4022809581,200,MAF,conteneur,8563771665917837637,2012-02-28T08:58:57.320Z
672,SU11-SearchPhrase-Page,1330419537167,true,PT1022809582,200,MAF,etiquettes,8519304225180836886,2012-02-28T08:58:57.167Z
560,SU31-AddToCart-Page,1330419543817,true,PT6022809581,200,MAF,ciseaux,8519304225180836845,2012-02-28T08:59:03.817Z
1061,SU32-GoToCart-Page,1330419543972,true,PT3022809582,200,MAF,ventouse,8519304225180891593,2012-02-28T08:59:03.972Z
637,SU11-SearchPhrase-Page,1330419546027,true,PT4022809581,200,MAF,conteneur,8519304225180869713,2012-02-28T08:59:06.027Z
1829,SU43-Paiment-Page,1330419546932,true,PT5022809571,200,MAF,servante,8519304225180863821,2012-02-28T08:59:06.932Z
1630,SU12b-PickProduct-Page,1330419548747,true,PT1022809582,200,MAF,etiquettes,8519304225180836886,2012-02-28T08:59:08.747Z
253,SU01-HomePage-Page,1330419551114,true,PT7022809591,200,WDK,teippi,,2012-02-28T08:59:11.114Z
852,SU32-GoToCart-Page,1330419554339,true,PT6022809581,200,MAF,ciseaux,8519304225180836845,2012-02-28T08:59:14.339Z
585,SU41-CustomerDetails-Page,1330419555096,true,PT3022809582,200,MAF,ventouse,8519304225180891593,2012-02-28T08:59:15.096Z
892,SU61-BrowseCat2-Page,1330419555001,true,PT2022809572,200,MAF,caisse,8519304225180883243,2012-02-28T08:59:15.001Z
1576,SU12b-PickProduct-Page,1330419557792,true,PT4022809581,200,MAF,conteneur,8519304225180869713,2012-02-28T08:59:17.792Z
599,SU31-AddToCart-Page,1330419559499,true,PT1022809582,200,MAF,etiquettes,8519304225180836886,2012-02-28T08:59:19.499Z
435,SU11-SearchPhrase-Page,1330419561255,true,PT7022809591,200,WDK,teippi,8482248024566678058,2012-02-28T08:59:21.255Z
585,SU41-CustomerDetails-Page,1330419565928,true,PT6022809581,200,MAF,ciseaux,8519304225180836845,2012-02-28T08:59:25.928Z
667,SU42-DeliveryAndBilling-Page,1330419566015,true,PT3022809582,200,MAF,ventouse,8519304225180891593,2012-02-28T08:59:26.015Z
288,SU01-HomePage-Page,1330419567279,true,PT2022809593,200,MAF,diable,8519304225180883243,2012-02-28T08:59:27.279Z
527,SU31-AddToCart-Page,1330419568556,true,PT4022809581,200,MAF,conteneur,8519304225180869713,2012-02-28T08:59:28.556Z
822,SU32-GoToCart-Page,1330419570583,true,PT1022809582,200,MAF,etiquettes,8519304225180836886,2012-02-28T08:59:30.583Z
1128,SU61-BrowseCat2-Page,1330419571580,true,PT5022809571,200,MAF,servante,8519304225180863821,2012-02-28T08:59:31.580Z
1619,SU12b-PickProduct-Page,1330419572706,true,PT7022809591,200,WDK,teippi,8482248024566678058,2012-02-28T08:59:32.706Z
569,SU42-DeliveryAndBilling-Page,1330419575938,true,PT6022809581,200,MAF,ciseaux,8519304225180836845,2012-02-28T08:59:35.938Z
565,SU11-SearchPhrase-Page,1330419578440,true,PT2022809593,200,MAF,diable,8519304225180885079,2012-02-28T08:59:38.440Z
719,SU32-GoToCart-Page,1330419579005,true,PT4022809581,200,MAF,conteneur,8519304225180869713,2012-02-28T08:59:39.005Z
1596,SU43-Paiment-Page,1330419578777,true,PT3022809582,200,MAF,ventouse,8519304225180891593,2012-02-28T08:59:38.777Z
560,SU41-CustomerDetails-Page,1330419581252,true,PT1022809582,200,MAF,etiquettes,8519304225180836886,2012-02-28T08:59:41.252Z
270,SU01-HomePage-Page,1330419582042,true,PT5022809591,200,KEY,Winter Heaters,8519304225180863821,2012-02-28T08:59:42.042Z
473,SU31-AddToCart-Page,1330419585390,true,PT7022809591,200,WDK,teippi,8482248024566678058,2012-02-28T08:59:45.390Z
1474,SU43-Paiment-Page,1330419586637,true,PT6022809581,200,MAF,ciseaux,8519304225180836845,2012-02-28T08:59:46.637Z
1504,SU12b-PickProduct-Page,1330419590521,true,PT2022809593,200,MAF,diable,8519304225180885079,2012-02-28T08:59:50.521Z
600,SU42-DeliveryAndBilling-Page,1330419591620,true,PT1022809582,200,MAF,etiquettes,8519304225180836886,2012-02-28T08:59:51.620Z
504,SU41-CustomerDetails-Page,1330419591833,true,PT4022809581,200,MAF,conteneur,8519304225180869713,2012-02-28T08:59:51.833Z
235,SU01-HomePage-Page,1330419592613,true,PT8022809591,200,FAB,bac plastique,,2012-02-28T08:59:52.613Z
1190,SU11-SearchPhrase-Page,1330419593152,true,PT5022809591,200,KEY,Winter Heaters,8660117787514676207,2012-02-28T08:59:53.152Z
782,SU32-GoToCart-Page,1330419595729,true,PT7022809591,200,WDK,teippi,8482248024566678058,2012-02-28T08:59:55.729Z
572,SU31-AddToCart-Page,1330419601369,true,PT2022809593,200,MAF,diable,8519304225180885079,2012-02-28T09:00:01.369Z
806,SU11-SearchPhrase-Page,1330419601473,true,PT8022809591,200,FAB,bac plastique,8563771665917887506,2012-02-28T09:00:01.473Z
556,SU42-DeliveryAndBilling-Page,1330419601970,true,PT4022809581,200,MAF,conteneur,8519304225180869713,2012-02-28T09:00:01.970Z
1514,SU43-Paiment-Page,1330419601374,true,PT1022809582,200,MAF,etiquettes,8519304225180836886,2012-02-28T09:00:01.374Z
730,SU61-BrowseCat2-Page,1330419602931,true,PT3022809582,200,MAF,ventouse,8519304225180891593,2012-02-28T09:00:02.931Z
2460,SU12b-PickProduct-Page,1330419603033,true,PT5022809591,200,KEY,Winter Heaters,8660117787514676207,2012-02-28T09:00:03.033Z
530,SU41-CustomerDetails-Page,1330419607064,true,PT7022809591,200,WDK,teippi,8482248024566678058,2012-02-28T09:00:07.064Z
978,SU61-BrowseCat2-Page,1330419608514,true,PT6022809581,200,MAF,ciseaux,8519304225180836845,2012-02-28T09:00:08.514Z
274,SU01-HomePage-Page,1330419612730,true,PT3022810003,200,MAF,enrouleur,8519304225180891593,2012-02-28T09:00:12.730Z
1490,SU12b-PickProduct-Page,1330419611621,true,PT8022809591,200,FAB,bac plastique,8563771665917887506,2012-02-28T09:00:11.621Z
1723,SU43-Paiment-Page,1330419612385,true,PT4022809581,200,MAF,conteneur,8519304225180869713,2012-02-28T09:00:12.385Z
847,SU32-GoToCart-Page,1330419614668,true,PT2022809593,200,MAF,diable,8519304225180885079,2012-02-28T09:00:14.668Z
1022,SU31-AddToCart-Page,1330419615400,true,PT5022809591,200,KEY,Winter Heaters,8660117787514676207,2012-02-28T09:00:15.400Z
725,SU42-DeliveryAndBilling-Page,1330419616358,true,PT7022809591,200,WDK,teippi,8482248024566678058,2012-02-28T09:00:16.358Z
290,SU01-HomePage-Page,1330419618760,true,PT6022810001,200,OIB,chauffage,8519304225180836845,2012-02-28T09:00:18.760Z
636,SU11-SearchPhrase-Page,1330419623131,true,PT3022810003,200,MAF,enrouleur,8519304225180864082,2012-02-28T09:00:23.131Z
581,SU31-AddToCart-Page,1330419624203,true,PT8022809591,200,FAB,bac plastique,8563771665917887506,2012-02-28T09:00:24.203Z
780,SU61-BrowseCat2-Page,1330419624904,true,PT1022809582,200,MAF,etiquettes,8519304225180836886,2012-02-28T09:00:24.904Z
815,SU32-GoToCart-Page,1330419625142,true,PT5022809591,200,KEY,Winter Heaters,8660117787514676207,2012-02-28T09:00:25.142Z
1826,SU43-Paiment-Page,1330419624557,true,PT7022809591,200,WDK,teippi,8482248024566678058,2012-02-28T09:00:24.557Z
519,SU41-CustomerDetails-Page,1330419627099,true,PT2022809593,200,MAF,diable,8519304225180885079,2012-02-28T09:00:27.099Z
609,SU11-SearchPhrase-Page,1330419628131,true,PT6022810001,200,OIB,chauffage,8563771665917858329,2012-02-28T09:00:28.131Z
203,SU01-HomePage-Page,1330419634130,true,PT9022810001,200,KIE,149b008ns,,2012-02-28T09:00:34.130Z
726,SU61-BrowseCat2-Page,1330419634538,true,PT4022809581,200,MAF,conteneur,8519304225180869713,2012-02-28T09:00:34.538Z
480,SU32-GoToCart-Page,1330419635178,true,PT8022809591,200,FAB,bac plastique,8563771665917887506,2012-02-28T09:00:35.178Z
262,SU01-HomePage-Page,1330419635762,true,PT1022810003,200,MAF,SCOTCH,8519304225180836886,2012-02-28T09:00:35.762Z
1688,SU12b-PickProduct-Page,1330419634834,true,PT3022810003,200,MAF,enrouleur,8519304225180864082,2012-02-28T09:00:34.834Z
529,SU41-CustomerDetails-Page,1330419636125,true,PT5022809591,200,KEY,Winter Heaters,8660117787514676207,2012-02-28T09:00:36.125Z
3230,SU42-DeliveryAndBilling-Page,1330419636265,true,PT2022809593,200,MAF,diable,8519304225180885079,2012-02-28T09:00:36.265Z
1027,SU12b-PickProduct-Page,1330419639862,true,PT6022810001,200,OIB,chauffage,8563771665917858329,2012-02-28T09:00:39.862Z
505,SU01-HomePage-Page,1330419643917,true,PT4022810002,200,OIN,ordner,8519304225180869713,2012-02-28T09:00:43.917Z
334,SU11-SearchPhrase-Page,1330419644476,true,PT9022810001,200,KIE,149b008ns,,2012-02-28T09:00:44.476Z
209,SU41-CustomerDetails-Page,1330419645316,true,PT8022809591,200,FAB,bac plastique,8563771665917887506,2012-02-28T09:00:45.316Z
564,SU31-AddToCart-Page,1330419645225,true,PT3022810003,200,MAF,enrouleur,8519304225180864082,2012-02-28T09:00:45.225Z
673,SU11-SearchPhrase-Page,1330419646903,true,PT1022810003,200,MAF,SCOTCH,8519304225180889696,2012-02-28T09:00:46.903Z
1013,SU61-BrowseCat2-Page,1330419646804,true,PT7022809591,200,WDK,teippi,8482248024566678058,2012-02-28T09:00:46.804Z
869,SU42-DeliveryAndBilling-Page,1330419648964,true,PT5022809591,200,KEY,Winter Heaters,8660117787514676207,2012-02-28T09:00:48.964Z
506,SU31-AddToCart-Page,1330419650786,true,PT6022810001,200,OIB,chauffage,8563771665917858329,2012-02-28T09:00:50.786Z
1387,SU43-Paiment-Page,1330419651480,true,PT2022809593,200,MAF,diable,8519304225180885079,2012-02-28T09:00:51.480Z
577,SU11-SearchPhrase-Page,1330419654075,true,PT4022810002,200,OIN,ordner,8563771665917861392,2012-02-28T09:00:54.075Z
331,SU42-DeliveryAndBilling-Page,1330419655700,true,PT8022809591,200,FAB,bac plastique,8563771665917887506,2012-02-28T09:00:55.700Z
811,SU32-GoToCart-Page,1330419656848,true,PT3022810003,200,MAF,enrouleur,8519304225180864082,2012-02-28T09:00:56.848Z
1640,SU12b-PickProduct-Page,1330419656089,true,PT9022810001,200,KIE,149b008ns,,2012-02-28T09:00:56.089Z
480,SU01-HomePage-Page,1330419658574,true,PT7022810001,200,OIN,kamerschermen,8482248024566678058,2012-02-28T09:00:58.574Z
2779,SU12b-PickProduct-Page,1330419656596,true,PT1022810003,200,MAF,SCOTCH,8519304225180889696,2012-02-28T09:00:56.596Z
1593,SU43-Paiment-Page,1330419660080,true,PT5022809591,200,KEY,Winter Heaters,8660117787514676207,2012-02-28T09:01:00.080Z
475,SU32-GoToCart-Page,1330419661233,true,PT6022810001,200,OIB,chauffage,8563771665917858329,2012-02-28T09:01:01.233Z
1019,SU12b-PickProduct-Page,1330419663880,true,PT4022810002,200,OIN,ordner,8563771665917861392,2012-02-28T09:01:03.880Z
1352,SU43-Paiment-Page,1330419664576,true,PT8022809591,200,FAB,bac plastique,8563771665917887506,2012-02-28T09:01:04.576Z
685,SU41-CustomerDetails-Page,1330419666873,true,PT3022810003,200,MAF,enrouleur,8519304225180864082,2012-02-28T09:01:06.873Z
517,SU31-AddToCart-Page,1330419668225,true,PT1022810003,200,MAF,SCOTCH,8519304225180889696,2012-02-28T09:01:08.225Z
953,SU11-SearchPhrase-Page,1330419668443,true,PT7022810001,200,OIN,kamerschermen,8563771665917894567,2012-02-28T09:01:08.443Z
789,SU61-BrowseCat2-Page,1330419670023,true,PT9022810001,200,KIE,149b008ns,,2012-02-28T09:01:10.023Z
226,SU41-CustomerDetails-Page,1330419671549,true,PT6022810001,200,OIB,chauffage,8563771665917858329,2012-02-28T09:01:11.549Z
892,SU61-BrowseCat2-Page,1330419673771,true,PT2022809593,200,MAF,diable,8519304225180885079,2012-02-28T09:01:13.771Z
222,SU01-HomePage-Page,1330419675771,true,PT10022810011,200,OIB,plateau roulant,,2012-02-28T09:01:15.771Z
1012,SU31-AddToCart-Page,1330419676444,true,PT4022810002,200,OIN,ordner,8563771665917861392,2012-02-28T09:01:16.444Z
530,SU42-DeliveryAndBilling-Page,1330419677578,true,PT3022810003,200,MAF,enrouleur,8519304225180864082,2012-02-28T09:01:17.578Z
281,SU01-HomePage-Page,1330419680639,true,PT9022810011,200,MAF,perforateur,,2012-02-28T09:01:20.639Z
995,SU32-GoToCart-Page,1330419679993,true,PT1022810003,200,MAF,SCOTCH,8519304225180889696,2012-02-28T09:01:19.993Z
2022,SU12b-PickProduct-Page,1330419680982,true,PT7022810001,200,OIN,kamerschermen,8563771665917894567,2012-02-28T09:01:20.982Z
392,SU42-DeliveryAndBilling-Page,1330419684665,true,PT6022810001,200,OIB,chauffage,8563771665917858329,2012-02-28T09:01:24.665Z
138,SU11-SearchPhrase-Page,1330419685324,true,PT10022810011,200,OIB,plateau roulant,8563771665917875261,2012-02-28T09:01:25.324Z
304,SU01-HomePage-Page,1330419685298,true,PT2022810011,200,MSK,obuv,8519304225180885079,2012-02-28T09:01:25.298Z
1617,SU61-BrowseCat2-Page,1330419684106,true,PT5022809591,200,KEY,Winter Heaters,8660117787514676207,2012-02-28T09:01:24.106Z
1132,SU32-GoToCart-Page,1330419685359,true,PT4022810002,200,OIN,ordner,8563771665917861392,2012-02-28T09:01:25.359Z
645,SU61-BrowseCat2-Page,1330419686526,true,PT8022809591,200,FAB,bac plastique,8563771665917887506,2012-02-28T09:01:26.526Z
1379,SU43-Paiment-Page,1330419687801,true,PT3022810003,200,MAF,enrouleur,8519304225180864082,2012-02-28T09:01:27.801Z
608,SU41-CustomerDetails-Page,1330419690913,true,PT1022810003,200,MAF,SCOTCH,8519304225180889696,2012-02-28T09:01:30.913Z
621,SU11-SearchPhrase-Page,1330419692120,true,PT9022810011,200,MAF,perforateur,8519304225180886132,2012-02-28T09:01:32.120Z
1063,SU31-AddToCart-Page,1330419692035,true,PT7022810001,200,OIN,kamerschermen,8563771665917894567,2012-02-28T09:01:32.035Z
150,SU11-SearchPhrase-Page,1330419693477,true,PT2022810011,200,MSK,obuv,8600827866532007258,2012-02-28T09:01:33.477Z
409,SU12b-PickProduct-Page,1330419694103,true,PT10022810011,200,OIB,plateau roulant,8563771665917875261,2012-02-28T09:01:34.103Z
299,SU01-HomePage-Page,1330419695601,true,PT5022810012,200,MAF,porte document,8660117787514676207,2012-02-28T09:01:35.601Z
886,SU41-CustomerDetails-Page,1330419696099,true,PT4022810002,200,OIN,ordner,8563771665917861392,2012-02-28T09:01:36.099Z
1618,SU43-Paiment-Page,1330419695482,true,PT6022810001,200,OIB,chauffage,8563771665917858329,2012-02-28T09:01:35.482Z
287,SU01-HomePage-Page,1330419698341,true,PT8022810011,200,MAF,escabot,8563771665917887506,2012-02-28T09:01:38.341Z
926,SU42-DeliveryAndBilling-Page,1330419702614,true,PT1022810003,200,MAF,SCOTCH,8519304225180889696,2012-02-28T09:01:42.614Z
1329,SU32-GoToCart-Page,1330419702496,true,PT7022810001,200,OIN,kamerschermen,8563771665917894567,2012-02-28T09:01:42.496Z
754,SU31-AddToCart-Page,1330419703141,true,PT10022810011,200,OIB,plateau roulant,8563771665917875261,2012-02-28T09:01:43.141Z
315,SU12b-PickProduct-Page,1330419704673,true,PT2022810011,200,MSK,obuv,8600827866532007258,2012-02-28T09:01:44.673Z
715,SU11-SearchPhrase-Page,1330419705650,true,PT5022810012,200,MAF,porte document,8519304225180865440,2012-02-28T09:01:45.650Z
1181,SU42-DeliveryAndBilling-Page,1330419706616,true,PT4022810002,200,OIN,ordner,8563771665917861392,2012-02-28T09:01:46.616Z
3085,SU12b-PickProduct-Page,1330419704987,true,PT9022810011,200,MAF,perforateur,8519304225180886132,2012-02-28T09:01:44.987Z
390,SU11-SearchPhrase-Page,1330419708144,true,PT8022810011,200,MAF,escabot,8519304225180847961,2012-02-28T09:01:48.144Z
833,SU61-BrowseCat2-Page,1330419709132,true,PT3022810003,200,MAF,enrouleur,8519304225180864082,2012-02-28T09:01:49.132Z
458,SU32-GoToCart-Page,1330419714076,true,PT10022810011,200,OIB,plateau roulant,8563771665917875261,2012-02-28T09:01:54.076Z
937,SU43-Paiment-Page,1330419714696,true,PT1022810003,200,MAF,SCOTCH,8519304225180889696,2012-02-28T09:01:54.696Z
488,SU31-AddToCart-Page,1330419715229,true,PT2022810011,200,MSK,obuv,8600827866532007258,2012-02-28T09:01:55.229Z
658,SU31-AddToCart-Page,1330419716682,true,PT9022810011,200,MAF,perforateur,8519304225180886132,2012-02-28T09:01:56.682Z
279,SU01-HomePage-Page,1330419717262,true,PT11022810011,200,MAF,badge,,2012-02-28T09:01:57.262Z
1018,SU41-CustomerDetails-Page,1330419716769,true,PT7022810001,200,OIN,kamerschermen,8563771665917894567,2012-02-28T09:01:56.769Z
1915,SU12b-PickProduct-Page,1330419716404,true,PT5022810012,200,MAF,porte document,8519304225180865440,2012-02-28T09:01:56.404Z
271,SU01-HomePage-Page,1330419718531,true,PT3022810011,200,KEY,392D020,8519304225180864082,2012-02-28T09:01:58.531Z
2135,SU43-Paiment-Page,1330419716819,true,PT4022810002,200,OIN,ordner,8563771665917861392,2012-02-28T09:01:56.819Z
1469,SU12b-PickProduct-Page,1330419717843,true,PT8022810011,200,MAF,escabot,8519304225180847961,2012-02-28T09:01:57.843Z
650,SU61-BrowseCat2-Page,1330419719016,true,PT6022810001,200,OIB,chauffage,8563771665917858329,2012-02-28T09:01:59.016Z
169,SU41-CustomerDetails-Page,1330419725676,true,PT10022810011,200,OIB,plateau roulant,8563771665917875261,2012-02-28T09:02:05.676Z
456,SU32-GoToCart-Page,1330419726055,true,PT2022810011,200,MSK,obuv,8600827866532007258,2012-02-28T09:02:06.055Z
654,SU11-SearchPhrase-Page,1330419726765,true,PT11022810011,200,MAF,badge,8519304225180895617,2012-02-28T09:02:06.765Z
807,SU32-GoToCart-Page,1330419726742,true,PT9022810011,200,MAF,perforateur,8519304225180886132,2012-02-28T09:02:06.742Z
1495,SU11-SearchPhrase-Page,1330419726509,true,PT3022810011,200,KEY,392D020,8519304225180864082,2012-02-28T09:02:06.509Z
556,SU31-AddToCart-Page,1330419728670,true,PT8022810011,200,MAF,escabot,8519304225180847961,2012-02-28T09:02:08.670Z
840,SU42-DeliveryAndBilling-Page,1330419728688,true,PT7022810001,200,OIN,kamerschermen,8563771665917894567,2012-02-28T09:02:08.688Z
673,SU31-AddToCart-Page,1330419729264,true,PT5022810012,200,MAF,porte document,8519304225180865440,2012-02-28T09:02:09.264Z
445,SU01-HomePage-Page,1330419731048,true,PT6022810021,200,OIN,schrijfblok,8563771665917858329,2012-02-28T09:02:11.048Z
