t,lb,ts,s,userId,rc,shop,search__phrase,productId
2388,SU12b-PickProduct-Page,1330418092419,true,PT3022809341,200,KEY,Winter Heaters,8660117787514688450
1844,SU43-Paiment-Page,1330418093258,true,PT1022809341,200,MRU,<EOF>,8645295307269003693
390,SU32-GoToCart-Page,1330418095151,true,PT4022809341,200,FAB,devidoir,8563771665917880357
425,SU41-CustomerDetails-Page,1330418096080,true,PT4022809341,200,FAB,devidoir,8563771665917880357
668,SU41-CustomerDetails-Page,1330418096214,true,PT2022809341,200,WSW,nilfisk,8504481744935166969
1847,SU31-AddToCart-Page,1330418095724,true,PT3022809341,200,KEY,Winter Heaters,8660117787514688450
191,SU01-HomePage-Page,1330418098180,true,PT1022809341,200,KIE,177R128,8645295307269003693
738,SU42-DeliveryAndBilling-Page,1330418097952,true,PT2022809341,200,WSW,nilfisk,8504481744935166969
188,SU42-DeliveryAndBilling-Page,1330418099257,true,PT4022809341,200,FAB,devidoir,8563771665917880357
479,SU43-Paiment-Page,1330418099614,true,PT4022809341,200,FAB,devidoir,8563771665917880357
1223,SU43-Paiment-Page,1330418098884,true,PT2022809341,200,WSW,nilfisk,8504481744935166969
1093,SU32-GoToCart-Page,1330418099136,true,PT3022809341,200,KEY,Winter Heaters,8660117787514688450
1869,SU11-SearchPhrase-Page,1330418099349,true,PT1022809341,200,KIE,177R128,8645295307269003693
672,SU41-CustomerDetails-Page,1330418101245,true,PT3022809341,200,KEY,Winter Heaters,8660117787514688450
348,SU61-BrowseCat2-Page,1330418102027,true,PT2022809341,200,WSW,nilfisk,8504481744935166969
806,SU42-DeliveryAndBilling-Page,1330418102058,true,PT3022809341,200,KEY,Winter Heaters,8660117787514688450
882,SU61-BrowseCat2-Page,1330418102474,true,PT4022809341,200,FAB,devidoir,8563771665917880357
1770,SU12b-PickProduct-Page,1330418101829,true,PT1022809341,200,KIE,177R128,8645295307269003693
348,SU01-HomePage-Page,1330418103465,true,PT2022809351,200,MAF,bidon,8504481744935166969
964,SU43-Paiment-Page,1330418103250,true,PT3022809341,200,KEY,Winter Heaters,8660117787514688450
577,SU61-BrowseCat2-Page,1330418104038,true,PT1022809341,200,KIE,177R128,8645295307269003693
305,SU01-HomePage-Page,1330418104489,true,PT4022809351,200,MCZ,184514,8563771665917880357
845,SU11-SearchPhrase-Page,1330418104479,true,PT2022809351,200,MAF,bidon,8519304225180876557
259,SU01-HomePage-Page,1330418105757,true,PT1022809352,200,MHU,t?relv?laszt?,8645295307269003693
1536,SU12b-PickProduct-Page,1330418105811,true,PT2022809351,200,MAF,bidon,8519304225180876557
1623,SU61-BrowseCat2-Page,1330418106066,true,PT3022809341,200,KEY,Winter Heaters,8660117787514688450
699,SU11-SearchPhrase-Page,1330418107197,true,PT1022809352,200,MHU,t?relv?laszt?,8600827866532018701
911,SU11-SearchPhrase-Page,1330418107255,true,PT4022809351,200,MCZ,184514,8563771665917880357
289,SU01-HomePage-Page,1330418108840,true,PT3022809351,200,MPL,stojak,8660117787514688450
677,SU31-AddToCart-Page,1330418108532,true,PT2022809351,200,MAF,bidon,8519304225180876557
1049,SU12b-PickProduct-Page,1330418108746,true,PT4022809351,200,MCZ,184514,8563771665917880357
1165,SU11-SearchPhrase-Page,1330418109270,true,PT3022809351,200,MPL,stojak,8600827866532020606
2610,SU12b-PickProduct-Page,1330418107999,true,PT1022809352,200,MHU,t?relv?laszt?,8600827866532018701
950,SU32-GoToCart-Page,1330418110363,true,PT2022809351,200,MAF,bidon,8519304225180876557
1504,SU12b-PickProduct-Page,1330418111302,true,PT3022809351,200,MPL,stojak,8600827866532020606
546,SU41-CustomerDetails-Page,1330418112382,true,PT2022809351,200,MAF,bidon,8519304225180876557
893,SU31-AddToCart-Page,1330418112372,true,PT1022809352,200,MHU,t?relv?laszt?,8600827866532018701
861,SU31-AddToCart-Page,1330418112497,true,PT4022809351,200,MCZ,184514,8563771665917880357
746,SU31-AddToCart-Page,1330418112945,true,PT3022809351,200,MPL,stojak,8600827866532020606
738,SU42-DeliveryAndBilling-Page,1330418113674,true,PT2022809351,200,MAF,bidon,8519304225180876557
803,SU32-GoToCart-Page,1330418114715,true,PT3022809351,200,MPL,stojak,8600827866532020606
927,SU32-GoToCart-Page,1330418116219,true,PT1022809352,200,MHU,t?relv?laszt?,8600827866532018701
320,SU41-CustomerDetails-Page,1330418116995,true,PT3022809351,200,MPL,stojak,8600827866532020606
1757,SU43-Paiment-Page,1330418115957,true,PT2022809351,200,MAF,bidon,8519304225180876557
327,SU41-CustomerDetails-Page,1330418117417,true,PT1022809352,200,MHU,t?relv?laszt?,8600827866532018701
917,SU32-GoToCart-Page,1330418117107,true,PT4022809351,200,MCZ,184514,8563771665917880357
615,SU42-DeliveryAndBilling-Page,1330418117838,true,PT3022809351,200,MPL,stojak,8600827866532020606
617,SU42-DeliveryAndBilling-Page,1330418119119,true,PT1022809352,200,MHU,t?relv?laszt?,8600827866532018701
304,SU41-CustomerDetails-Page,1330418119611,true,PT4022809351,200,MCZ,184514,8563771665917880357
1502,SU43-Paiment-Page,1330418120032,true,PT1022809352,200,MHU,t?relv?laszt?,8600827866532018701
744,SU61-BrowseCat2-Page,1330418120943,true,PT2022809351,200,MAF,bidon,8519304225180876557
1741,SU43-Paiment-Page,1330418120056,true,PT3022809351,200,MPL,stojak,8600827866532020606
245,SU01-HomePage-Page,1330418122567,true,PT2022809352,200,MSK,pracovna obuv,8519304225180876557
602,SU42-DeliveryAndBilling-Page,1330418123018,true,PT4022809351,200,MCZ,184514,8563771665917880357
1480,SU61-BrowseCat2-Page,1330418124026,true,PT1022809352,200,MHU,t?relv?laszt?,8600827866532018701
956,SU11-SearchPhrase-Page,1330418124639,true,PT2022809352,200,MSK,pracovna obuv,8600827866532007276
1378,SU61-BrowseCat2-Page,1330418124520,true,PT3022809351,200,MPL,stojak,8600827866532020606
492,SU01-HomePage-Page,1330418125575,true,PT1022809351,200,OIB,plateau roulant,8600827866532018701
1514,SU43-Paiment-Page,1330418124977,true,PT4022809351,200,MCZ,184514,8563771665917880357
214,SU01-HomePage-Page,1330418127385,true,PT3022809351,200,OID,195 fl?gelt?rschrank,8600827866532020606
691,SU11-SearchPhrase-Page,1330418127390,true,PT1022809351,200,OIB,plateau roulant,8563771665917853557
1101,SU11-SearchPhrase-Page,1330418128629,true,PT3022809351,200,OID,195 fl?gelt?rschrank,8563771665917858277
1541,SU61-BrowseCat2-Page,1330418128831,true,PT4022809351,200,MCZ,184514,8563771665917880357
1454,SU12b-PickProduct-Page,1330418128930,true,PT1022809351,200,OIB,plateau roulant,8563771665917853557
517,SU01-HomePage-Page,1330418131322,true,PT4022809351,200,OIN,ordner,8563771665917880357
729,SU31-AddToCart-Page,1330418131365,true,PT1022809351,200,OIB,plateau roulant,8563771665917853557
2108,SU12b-PickProduct-Page,1330418130087,true,PT3022809351,200,OID,195 fl?gelt?rschrank,8563771665917858277
4335,SU12b-PickProduct-Page,1330418128858,true,PT2022809352,200,MSK,pracovna obuv,8600827866532007276
934,SU31-AddToCart-Page,1330418132377,true,PT3022809351,200,OID,195 fl?gelt?rschrank,8563771665917858277
581,SU31-AddToCart-Page,1330418133922,true,PT2022809352,200,MSK,pracovna obuv,8600827866532007276
750,SU32-GoToCart-Page,1330418133852,true,PT3022809351,200,OID,195 fl?gelt?rschrank,8563771665917858277
1746,SU11-SearchPhrase-Page,1330418132961,true,PT4022809351,200,OIN,ordner,8563771665917838074
678,SU32-GoToCart-Page,1330418134172,true,PT1022809351,200,OIB,plateau roulant,8563771665917853557
527,SU41-CustomerDetails-Page,1330418134719,true,PT3022809351,200,OID,195 fl?gelt?rschrank,8563771665917858277
211,SU41-CustomerDetails-Page,1330418135150,true,PT1022809351,200,OIB,plateau roulant,8563771665917853557
750,SU32-GoToCart-Page,1330418135115,true,PT2022809352,200,MSK,pracovna obuv,8600827866532007276
367,SU42-DeliveryAndBilling-Page,1330418135914,true,PT1022809351,200,OIB,plateau roulant,8563771665917853557
324,SU42-DeliveryAndBilling-Page,1330418136512,true,PT3022809351,200,OID,195 fl?gelt?rschrank,8563771665917858277
175,SU41-CustomerDetails-Page,1330418136769,true,PT2022809352,200,MSK,pracovna obuv,8600827866532007276
750,SU43-Paiment-Page,1330418137629,true,PT3022809351,200,OID,195 fl?gelt?rschrank,8563771665917858277
348,SU42-DeliveryAndBilling-Page,1330418138388,true,PT2022809352,200,MSK,pracovna obuv,8600827866532007276
2291,SU12b-PickProduct-Page,1330418136796,true,PT4022809351,200,OIN,ordner,8563771665917838074
1240,SU43-Paiment-Page,1330418138659,true,PT1022809351,200,OIB,plateau roulant,8563771665917853557
1236,SU43-Paiment-Page,1330418138919,true,PT2022809352,200,MSK,pracovna obuv,8600827866532007276
1184,SU31-AddToCart-Page,1330418139512,true,PT4022809351,200,OIN,ordner,8563771665917838074
497,SU61-BrowseCat2-Page,1330418141118,true,PT3022809351,200,OID,195 fl?gelt?rschrank,8563771665917858277
237,SU01-HomePage-Page,1330418142079,true,PT3022809351,200,WDK,magneetti,8563771665917858277
659,SU61-BrowseCat2-Page,1330418141833,true,PT1022809351,200,OIB,plateau roulant,8563771665917853557
291,SU01-HomePage-Page,1330418143332,true,PT1022809351,200,WFI,lomakelokerikko,8563771665917853557
1560,SU11-SearchPhrase-Page,1330418142695,true,PT3022809351,200,WDK,magneetti,8482248024566674571
1574,SU32-GoToCart-Page,1330418142822,true,PT4022809351,200,OIN,ordner,8563771665917838074
1277,SU61-BrowseCat2-Page,1330418143511,true,PT2022809352,200,MSK,pracovna obuv,8600827866532007276
338,SU01-HomePage-Page,1330418144945,true,PT2022809351,200,WNO,49175,8600827866532007276
308,SU11-SearchPhrase-Page,1330418145953,true,PT1022809351,200,WFI,lomakelokerikko,8504481744935167017
1751,SU12b-PickProduct-Page,1330418145083,true,PT3022809351,200,WDK,magneetti,8482248024566674571
1262,SU12b-PickProduct-Page,1330418146336,true,PT1022809351,200,WFI,lomakelokerikko,8504481744935167017
782,SU41-CustomerDetails-Page,1330418146935,true,PT4022809351,200,OIN,ordner,8563771665917838074
697,SU31-AddToCart-Page,1330418147650,true,PT3022809351,200,WDK,magneetti,8482248024566674571
1018,SU42-DeliveryAndBilling-Page,1330418147813,true,PT4022809351,200,OIN,ordner,8563771665917838074
662,SU31-AddToCart-Page,1330418149906,true,PT1022809351,200,WFI,lomakelokerikko,8504481744935167017
2695,SU11-SearchPhrase-Page,1330418148026,true,PT2022809351,200,WNO,49175,8600827866532007276
1508,SU43-Paiment-Page,1330418149544,true,PT4022809351,200,OIN,ordner,8563771665917838074
1306,SU32-GoToCart-Page,1330418150458,true,PT3022809351,200,WDK,magneetti,8482248024566674571
1122,SU32-GoToCart-Page,1330418151496,true,PT1022809351,200,WFI,lomakelokerikko,8504481744935167017
789,SU41-CustomerDetails-Page,1330418152270,true,PT3022809351,200,WDK,magneetti,8482248024566674571
723,SU41-CustomerDetails-Page,1330418152722,true,PT1022809351,200,WFI,lomakelokerikko,8504481744935167017
1794,SU12b-PickProduct-Page,1330418151756,true,PT2022809351,200,WNO,49175,8600827866532007276
760,SU61-BrowseCat2-Page,1330418153435,true,PT4022809351,200,OIN,ordner,8563771665917838074
614,SU42-DeliveryAndBilling-Page,1330418153794,true,PT1022809351,200,WFI,lomakelokerikko,8504481744935167017
287,SU01-HomePage-Page,1330418154505,true,PT4022809351,200,WSW,85919,8563771665917838074
708,SU31-AddToCart-Page,1330418154326,true,PT2022809351,200,WNO,49175,8600827866532007276
658,SU42-DeliveryAndBilling-Page,1330418154865,true,PT3022809351,200,WDK,magneetti,8482248024566674571
804,SU43-Paiment-Page,1330418155639,true,PT1022809351,200,WFI,lomakelokerikko,8504481744935167017
1066,SU43-Paiment-Page,1330418156743,true,PT3022809351,200,WDK,magneetti,8482248024566674571
1158,SU32-GoToCart-Page,1330418156657,true,PT2022809351,200,WNO,49175,8600827866532007276
411,SU61-BrowseCat2-Page,1330418158436,true,PT1022809351,200,WFI,lomakelokerikko,8504481744935167017
2182,SU11-SearchPhrase-Page,1330418157011,true,PT4022809351,200,WSW,85919,8563771665917838074
329,SU41-CustomerDetails-Page,1330418158893,true,PT2022809351,200,WNO,49175,8600827866532007276
333,SU42-DeliveryAndBilling-Page,1330418159394,true,PT2022809351,200,WNO,49175,8600827866532007276
248,SU01-HomePage-Page,1330418159745,true,PT1022809352,200,MRU,<EOF>,8504481744935167017
548,SU61-BrowseCat2-Page,1330418160042,true,PT3022809351,200,WDK,magneetti,8482248024566674571
240,SU01-HomePage-Page,1330418161075,true,PT3022809361,200,FAB,chariot,8482248024566674571
905,SU43-Paiment-Page,1330418161202,true,PT2022809351,200,WNO,49175,8600827866532007276
522,SU61-BrowseCat2-Page,1330418162333,true,PT1022809352,200,MRU,<EOF>,8645295307269001927
908,SU61-BrowseCat2-Page,1330418163594,true,PT2022809351,200,WNO,49175,8600827866532007276
1067,SU12b-PickProduct-Page,1330418163741,true,PT1022809352,200,MRU,<EOF>,8645295307269001927
750,SU11-SearchPhrase-Page,1330418164070,true,PT3022809361,200,FAB,chariot,8563771665917904616
5171,SU12b-PickProduct-Page,1330418160897,true,PT4022809351,200,WSW,85919,8563771665917838074
773,SU31-AddToCart-Page,1330418165315,true,PT1022809352,200,MRU,<EOF>,8645295307269001927
520,SU32-GoToCart-Page,1330418166183,true,PT1022809352,200,MRU,<EOF>,8645295307269001927
215,SU41-CustomerDetails-Page,1330418166788,true,PT1022809352,200,MRU,<EOF>,8645295307269001927
276,SU01-HomePage-Page,1330418166975,true,PT2022809362,200,KEY,392D020,8600827866532007276
1638,SU12b-PickProduct-Page,1330418165966,true,PT3022809361,200,FAB,chariot,8563771665917904616
206,SU42-DeliveryAndBilling-Page,1330418168173,true,PT1022809352,200,MRU,<EOF>,8645295307269001927
869,SU31-AddToCart-Page,1330418168839,true,PT3022809361,200,FAB,chariot,8563771665917904616
1412,SU11-SearchPhrase-Page,1330418169055,true,PT2022809362,200,KEY,392D020,8600827866532007276
696,SU43-Paiment-Page,1330418169907,true,PT1022809352,200,MRU,<EOF>,8645295307269001927
